Mês,Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Janeiro,Masculino,26,Fundamental Incompleto,Fazendinha,1,CRAS Barra,CRAS Barra,PAIF,Assistente Social
Janeiro,Feminino,55,Fundamental Incompleto,Paineiras,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,62,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,47,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,40,Superior Completo,Pimenteiras,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,56,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,68,Médio Completo,Paineiras,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,62,Não Escolarizado,Paineiras,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,60,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,37,Médio Completo,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,54,Não Escolarizado,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,34,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,31,Médio Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,26,Médio Completo,Jardim Feo,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,32,Fundamental Incompleto,Jardim Feo,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,61,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,55,Fundamental Incompleto,Paineiras,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,37,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,43,Fundamental Incompleto,Granja Florestal,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,43,Fundamental Incompleto,Granja Florestal,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,49,Médio Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Psicólogo
Janeiro,Masculino,63,Fundamental Incompleto,Pimenteiras,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,34,Fundamental Incompleto,Vila Muqui,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Masculino,43,Fundamental Incompleto,Vila Muqui,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Masculino,31,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,32,Fundamental Incompleto,Parque do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Masculino,66,Fundamental Incompleto,Quebra Frascos,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,26,Médio Completo,Jardim Feo,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Masculino,50,Fundamental Incompleto,Espanhol,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Masculino,63,Fundamental Incompleto,Pimenteiras,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,46,Médio Completo,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,60,Fundamental Incompleto,Granja Florestal,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,32,Fundamental Incompleto,Jardim Feo,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Feminino,28,Fundamental Incompleto,Salaco,1,CRAS Barra,CRAS Barra,Público Geral,Assistente Social
Janeiro,Masculino,61,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,PAIF,Assistente Social
Janeiro,Masculino,54,Fundamental Incompleto,Cascata do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,54,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,62,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,86,Fundamental Incompleto,Cascata do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,67,Fundamental Incompleto,Jardim Feo,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,45,Fundamental Completo,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,43,Fundamental Completo,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,57,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,32,Fundamental Incompleto,Jardim Feo,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,50,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,78,Fundamental Incompleto,Salaco,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,42,Fundamental Incompleto,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,65,Fundamental Incompleto,Salaco,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,46,Superior Completo,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Masculino,24,Superior Completo,Barra do Imbuí,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
Janeiro,Feminino,66,Fundamental Incompleto,Caleme,1,CRAS Barra,CRAS Barra,Público Geral,Cadastro Único
