Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Masculino,81,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,42,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,81,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,30,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,61,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,26,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,43,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,23,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,22,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,67,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,39,Ensino Médio Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,48,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,41,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,69,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral,Coordenação
Feminino,69,Ensino Superior Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral,Coordenação
Feminino,81,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,56,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,91,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,62,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,29,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,73,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Coordenação
Feminino,50,Ensino Médio Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,19,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,75,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,52,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,22,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,23,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,66,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,59,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Masculino,30,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,83,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,44,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,25,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Masculino,37,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,39,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,35,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,63,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,43,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Feminino,64,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,60,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,28,Ensino Médio Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,54,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,17,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,35,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,57,Não Escolarizado,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Masculino,55,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Não Informado
Masculino,44,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,62,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,12,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,25,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,40,Ensino Superior Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,40,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,35,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,27,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,59,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Cadastro Único
Feminino,41,Ensino Médio Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,20,Ensino Médio Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,52,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,28,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,60,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,55,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,63,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,65,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,54,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,21,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,37,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,26,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
