Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Masculino,81,Fundamental Incompleto,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,42,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,81,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,30,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente social 
Feminino,61,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente social 
Feminino,26,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,43,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,23,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente social 
Feminino,22,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,67,Fundamental Completo,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,39,Médio Completo,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,48,Fundamental Completo,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,41,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,69,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Coordenação
Feminino,69,Superior Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Coordenação
Feminino,81,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,56,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,91,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,56,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,62,Fundamental Completo,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente social 
Feminino,29,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,PAIF,Assistente social 
Feminino,73,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Coordenação
Feminino,50,Médio Incompleto,Vale da Revolta ,1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente social 
Feminino,19,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,75,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente social 
Feminino,52,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,22,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,23,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,66,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Masculino,59,Fundamental Incompleto,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Médio Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral,Cadastro Único
Masculino,30,Fundamental Incompleto,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,83,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,44,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,25,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Masculino,37,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,39,Médio Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,35,Médio Completo,Jardim Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,63,Fundamental Completo,Meudon ,1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
