Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Masculino,54,Fundamental Incompleto,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,53,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,49,Fundamental Incompleto,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,76,Não Escolarizado,Ponte Nova ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,65,Fundamental Incompleto,Três Córregos ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,57,Fundamental Incompleto,Biquinha ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,30,Médio Completo,Serra do Capim,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,62,Não Escolarizado,Santa Rita,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,58,Fundamental Incompleto,Santa Rita,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,52,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,64,Não Escolarizado,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,64,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,60,Fundamental Incompleto,Três Córregos ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,42,Fundamental Incompleto,Brejal,,CRAS Prata,CRAS Prata,PAIF,Cadastro Ùnico
Feminino,71,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,63,Fundamental Incompleto,Granja Mafra ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,61,Fundamental Incompleto,Providência ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,80,Não Escolarizado,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,26,Médio Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,65,Fundamental Incompleto,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,51,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,64,Médio Completo,Santa Rita,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,59,Fundamental Incompleto,Biquinha ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,74,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,63,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,41,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,64,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,38,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,63,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,61,Médio Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,50,Médio Incompleto,Água Quente ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,21,Fundamental Incompleto,Granja Mafra ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,65,Fundamental Incompleto,Brejal,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,31,Médio Completo,Água Quente ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,33,Médio Completo,Água Quente ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,46,Médio Incompleto,Água Quente ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,36,Médio Completo,Fischer,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,41,Médio Completo,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,30,Fundamental Incompleto,Providência ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,25,Médio Incompleto,Prata,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,76,Fundamental Incompleto,Cruzeiro,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,59,Não Escolarizado,Pessegueiros ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,56,Médio Completo,Água Quente ,2,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,37,Fundamental Incompleto,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,55,Fundamental Incompleto,Fazenda Ermitage,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Feminino,53,Fundamental Incompleto,Quinta Lebrão,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
Masculino,64,Médio Completo,Fonte Santa ,1,CRAS Prata,CRAS Prata,Público Geral,Cadastro Ùnico
