Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Masculino,38,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,62,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,34,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,57,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,54,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,65,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,51,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,30,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,46,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,37,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,31,Superior Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,67,Superior Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,50,Ensino Fundamental Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Médio Incompleto,Fazendinha ,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,70,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,32,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,48,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Superior Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,32,Ensino Fundamental Incompleto,Morro do Tiro ,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,60,Ensino Fundamental Incompleto,Morro do Tiro ,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,42,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,18,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,21,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,29,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,49,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,78,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,19,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,34,Superior Completo,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,38,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,35,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,27,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,26,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,24,Ensino Médio Completo,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,19,Ensino Médio Completo,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,30,Ensino Fundamental Completo,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,25,Ensino Médio Completo,Granja Primor,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,50,Ensino Fundamental Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,21,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,31,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,47,Ensino Médio Completo,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,51,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,35,Ensino Médio Completo,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,31,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,41,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,35,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,52,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,53,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,25,Ensino Médio Completo,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,65,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,37,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,73,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,32,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,67,Ensino Fundamental Incompleto,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,70,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,77,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,39,Superior Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,43,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,59,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,37,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,61,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Superior Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,24,Ensino Médio Completo,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,43,Superior Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,61,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,53,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,18,Ensino Médio Completo,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,66,Ensino Fundamental Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,65,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,71,Não Escolarizado,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,43,Ensino Médio Completo,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,49,Ensino Fundamental Incompleto,Fazendinha,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,49,Ensino Fundamental Incompleto,Fazendinha,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,41,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,34,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,27,Ensino Médio Incompleto,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,57,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,69,Ensino Fundamental Incompleto,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,47,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,16,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,33,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,19,Ensino Médio Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,47,Ensino Médio Completo,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,29,Ensino Médio Incompleto,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,47,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,45,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,78,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,42,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,22,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,36,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,61,Ensino Médio Completo,N/D,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,52,Ensino Médio Completo,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,71,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,72,Ensino Fundamental Incompleto,Granja Primor,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,54,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,25,Ensino Médio Completo,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,49,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,31,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,52,Ensino Médio Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,74,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,40,Ensino Médio Incompleto,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,61,Ensino Fundamental Incompleto,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,39,Ensino Médio Completo,Pimentel,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,20,Ensino Fundamental Incompleto,Morro do Tiro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,34,Ensino Médio Completo,Perpétuo,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Masculino,57,Ensino Médio Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,22,Ensino Médio Incompleto,Bairro dos Funcionários,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
Feminino,45,Ensino Fundamental Incompleto,São Pedro,1,CRAS São Pedro,CRAS São Pedro,Público Geral,Cadastro Único
